"csd_ref","name","asa_grav [m²/g]","asa_vol [m²/cm³]","av_vf","pore_volume [cm³/g]","density [g/cm³]","nexc [wt. %]","uptake_grav [wt. %]","uptake_vol [g H2/L]","metal1","metal2","metal3","oms","lcd [Å]","pld [Å]","LFPD [Å]","symmetry_space_group","cell_length_a","cell_length_b","cell_length_c","cell_angle_alpha","cell_angle_beta","cell_angle_gamma","cell_volume [Å³]","cas1","norm_name1","name1","mol_mass1 [g/mol]","smile_cam1","smile_can1","linker1","vendor_name1","max_amount1 [g]","rel_price1 [€/g]","min_purity1","cas2","norm_name2","name2","mol_mass2 [g/mol]","smile_cam2","smile_can2","linker2","vendor_name2","max_amount2 [g]","rel_price2 [g/€]","min_purity2","cas3","norm_name3","name3","mol_mass3 [g/mol]","smile_cam3","smile_can3","linker3","vendor_name3","max_amount3 [g]","rel_price3 [€/g]","min_purity3"
"PITPEP","",1731.39,1649.81,0.62,0.65,0.95,3.49,4.47,44.62,"Al","","","Yes",11.42,9.94,11.42,"R-3",35.29,35.29,12.4,90.0,90.0,120.0,13367.88,"13598-36-2","Phosphonate","[""phosphonate"", ""hydrogen_phosphonate""]",80.99,"P(O)(O)=O","OP(=O)O","Yes","ABCR",1000.0,0.0791,0.98,"108-67-8","1,3,5-trimethylbenzene","[""2,4,6-trimethylbenzene-1,3,5-triyl""]",120.19,"CC1=[C]C(=[C]C(=[C]1)C)C","CC1=[C]C(=[C]C(=[C]1)C)C","No","","","","","14493-06-2","methylene","[""methylene""]",16.043,"[CH2]","[CH2]","No","","","",""
"UNABIV","",736.35,1129.32,0.48,0.31,1.53,2.19,2.58,40.64,"Cu","Mo","","Yes",5.08,3.82,4.86,"C2/c",27.54,13.76,17.35,90.0,99.34,90.0,6489.23,"553-26-4","4,4'-Bipyridine","[""4,4'-Bipyridine"", ""4,4'-bipyridyl"", ""4,4'-Bipyridinium"", ""4,4'-bipyridine"", ""4,4'-dipyridyl""]",156.18,"N1=CC=C(C=C1)C1=CC=NC=C1","n1ccc(cc1)c1ccncc1","Yes","Chemescene",1000.0,0.215,1.0,"74-90-8","Hydrogen Cyanide","[""Cyano"", ""dicyano""]",27.025,"[C]#N","[C]#N","Yes","Chemazone",0.01,189000.0,0.95,"14798-03-9","ammonium","[""Ammonium""]","","[NH4+]","[NH4+]","No","","","",""
"OYEJOS","",2054.35,1714.96,0.64,0.77,0.83,3.91,5.11,44.96,"Cu","","","Yes",9.56,4.64,9.56,"P21/n",18.49,15.6,23.3,90.0,91.82,90.0,6715.34,"13752-21-1","1,4-bis(imidazoleyl)benzene","[""1,4-bis(imidazolyl)benzene""]",210.23,"N1C(=NC=C1)C1=CC=C(C=C1)C=1NC=CN1","c1cnc([nH]1)c1ccc(cc1)c1ncc[nH]1","Yes","Chemazone",5.0,1546.28,0.95,"7664-38-2","phosphate","[""dihydrogen_phosphate"", ""phosphito"", ""Hydrogenphosphate"", ""phosphate""]",98.0,"P(=O)(O)(O)O","OP(=O)(O)O","Yes","ABCR",17000.0,0.01474706,0.85,"10040-96-7","1-(4-bromophenyl)imidazole","[""1-(4-bromophenyl)imidazole""]",223.07,"BrC1=CC=C(C=C1)N1C=NC=C1","Brc1ccc(cc1)n1cncc1","Yes","AmBeed",25.0,22.81752,0.98
"JOGSAA","",4728.27,1989.54,0.82,1.95,0.42,7.22,10.55,49.61,"Ni","","","Yes",12.98,9.45,12.87,"P21/m",15.07,24.77,15.17,90.0,110.54,90.0,5303.54,"553-26-4","4,4'-Bipyridine","[""4,4'-Bipyridine"", ""4,4'-bipyridyl"", ""4,4'-Bipyridinium"", ""4,4'-bipyridine"", ""4,4'-dipyridyl""]",156.18,"N1=CC=C(C=C1)C1=CC=NC=C1","n1ccc(cc1)c1ccncc1","Yes","Chemescene",1000.0,0.215,1.0,"7664-38-2","phosphate","[""dihydrogen_phosphate"", ""phosphito"", ""Hydrogenphosphate"", ""phosphate""]",98.0,"P(=O)(O)(O)O","OP(=O)(O)O","Yes","ABCR",17000.0,0.01474706,0.85,"144-62-7","Oxalate","[""Oxalate""]",90.03,"C(C(=O)O)(=O)O","C(C(=O)O)(=O)O","Yes","SigmaAldrich",250.0,0.1848,""
"IDORAW","",2623.65,1989.66,0.76,1.0,0.76,4.63,6.26,50.68,"Mn","Cu","","Yes",10.66,7.95,10.64,"P41212",20.47,20.47,34.34,90.0,90.0,90.0,14386.64,"","","","","","","","","","","","","","","","","","","","","","","144-62-7","Oxalate","[""Oxalate""]",90.03,"C(C(=O)O)(=O)O","C(C(=O)O)(=O)O","Yes","SigmaAldrich",250.0,0.1848,""
"NIXKIQ","RWLC-2",2028.8,1850.3,0.68,0.75,0.91,3.88,5.03,48.31,"Zn","","","Yes",10.73,9.85,10.73,"Pnma",17.23,23.59,23.73,90.0,90.0,90.0,9644.13,"366-18-7","2,2'-Bipyridyl","[""2,2'-bipyridine"", ""2,2'-Bipyridyl"", ""Bipyridyl""]",156.19,"N1=C(C=CC=C1)C1=NC=CC=C1","c1ccc(nc1)c1ccccn1","Yes","AmBeed",1000.0,0.0774,0.97,"50446-44-1","1,3,5-tris(4-Carboxyphenyl)benzene","[""1,3,5-tris(4-Carboxyphenyl)benzene"", ""1,3,5-tris(4-carboxylatephenyl)benzene"", ""benzene-1,3,4-tribenzoate"", ""4,4',4''-benzene-1,3,5-tribenzoate""]",438.43,"C(=O)(O)C1=CC=C(C=C1)C1=CC(=CC(=C1)C1=CC=C(C=C1)C(=O)O)C1=CC=C(C=C1)C(=O)O","C(=O)(O)C1=CC=C(C=C1)C1=CC(=CC(=C1)C1=CC=C(C=C1)C(=O)O)C1=CC=C(C=C1)C(=O)O","Yes","Chemescene",25.0,16.8904,0.99,"49784-85-2","Dimethylammonium","[""dimethylammonium"", ""N,N-dimethylammonium"", ""N-methylmethanaminium""]",46.09,"C[NH2+]C","C[NH2+]C","No","","","",""
"NESVAK","",2246.99,2238.65,0.71,0.72,1.0,4.16,5.15,54.04,"Cd","","","No",11.03,4.29,10.76,"R3c",21.52,21.52,66.23,90.0,90.0,120.0,26568.55,"554-95-0","1,3,5-Benzenetricarboxylate","[""benzene-1,3,5-tricarboxylate"", ""benzene-1,3,5-tricarboxyate"", ""1,3-dicarboxylatebenzene-5-carboxylic"", ""1,3,5-Benzenetricarboxylate"", ""1,3,5-tricarboxylatebenzene"", ""3,5-dicarboxybenzoate"", ""5-carboxybenzene-1,3-dicarboxylate""]",210.14,"C1(=CC(=CC(=C1)C(=O)O)C(=O)O)C(=O)O","OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O","Yes","AmBeed",1000.0,0.0989,0.98,"95-14-7","benzotriazolate","[""benzotriazole"", ""benzotriazolate"", ""1H-benzotriazole"", ""2,3-dihydro-1H-benzotriazole"", ""Benzotriazolate""]",119.14,"N1N=NC2=C1C=CC=C2","c1ccc2c(c1)[nH]nn2","Yes","BLD Pharm",1000.0,0.12298,0.98,"49784-85-2","Dimethylammonium","[""dimethylammonium"", ""N,N-dimethylammonium"", ""N-methylmethanaminium""]",46.09,"C[NH2+]C","C[NH2+]C","No","","","",""
"NESVEO","",2578.3,2332.63,0.69,0.76,0.9,4.58,5.56,53.25,"Zn","","","No",10.2,4.32,10.19,"I4/m",22.05,22.05,22.5,90.0,90.0,90.0,10932.17,"554-95-0","1,3,5-Benzenetricarboxylate","[""benzene-1,3,5-tricarboxylate"", ""benzene-1,3,5-tricarboxyate"", ""1,3-dicarboxylatebenzene-5-carboxylic"", ""1,3,5-Benzenetricarboxylate"", ""1,3,5-tricarboxylatebenzene"", ""3,5-dicarboxybenzoate"", ""5-carboxybenzene-1,3-dicarboxylate""]",210.14,"C1(=CC(=CC(=C1)C(=O)O)C(=O)O)C(=O)O","OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O","Yes","AmBeed",1000.0,0.0989,0.98,"95-14-7","benzotriazolate","[""benzotriazole"", ""benzotriazolate"", ""1H-benzotriazole"", ""2,3-dihydro-1H-benzotriazole"", ""Benzotriazolate""]",119.14,"N1N=NC2=C1C=CC=C2","c1ccc2c(c1)[nH]nn2","Yes","BLD Pharm",1000.0,0.12298,0.98,"49784-85-2","Dimethylammonium","[""dimethylammonium"", ""N,N-dimethylammonium"", ""N-methylmethanaminium""]",46.09,"C[NH2+]C","C[NH2+]C","No","","","",""
"FUTTIZ","",2904.54,2140.97,0.73,0.99,0.74,4.99,6.49,51.13,"Zn","","","Yes",12.86,4.31,12.86,"Pa-3",24.94,24.94,24.94,90.0,90.0,90.0,15516.5,"636-94-2","2-hydroxybenzene-1,4-dicarboxylate","[""2-Hydroxybenzene-1,4-dicarboxylate"", ""2-hydroxyterephthalate""]",182.13,"OC1=C(C=CC(=C1)C(=O)O)C(=O)O","OC(=O)c1ccc(c(c1)O)C(=O)O","Yes","BLD Pharm",100.0,14.2158,0.97,"280-57-9","1,4-diazabicyclo[2.2.2]octane","[""1,4-diazabicyclo[2.2.2]octane"", ""1,4-diazabicyclo(2.2.0)octane"", ""1,4-diazabicyclo(2.2.2)octane""]",112.2,"N12CCN(CC1)CC2","C1CN2CCN1CC2","Yes","TCI Chemicals",500.0,0.125,0.98,"49784-85-2","Dimethylammonium","[""dimethylammonium"", ""N,N-dimethylammonium"", ""N-methylmethanaminium""]",46.09,"C[NH2+]C","C[NH2+]C","No","","","",""
"OQUCOU","",3259.88,2801.31,0.7,0.81,0.86,5.43,6.38,58.52,"Cd","","","Yes",8.1,4.42,8.1,"C2",25.64,13.39,15.12,90.0,92.75,90.0,5186.13,"","","(R)-5-(1-carboxylateethoxy)isophthalate",254.19,"C(=O)(O)[C@@H](C)OC=1C=C(C=C(C(=O)O)C1)C(=O)O","C[C@H](C(=O)O)Oc1cc(cc(c1)C(=O)O)C(=O)O","No","","","","","13752-21-1","1,4-bis(imidazoleyl)benzene","[""1,4-bis(imidazolyl)benzene""]",210.23,"N1C(=NC=C1)C1=CC=C(C=C1)C=1NC=CN1","c1cnc([nH]1)c1ccc(cc1)c1ncc[nH]1","Yes","Chemazone",5.0,1546.28,0.95,"49784-85-2","Dimethylammonium","[""dimethylammonium"", ""N,N-dimethylammonium"", ""N-methylmethanaminium""]",46.09,"C[NH2+]C","C[NH2+]C","No","","","",""
